codbar,neighborhood,district,grid_point,lat,lon,nearest_bike_parking_m,is_underserved
106,LA PUNTA,QUATRE CARRERES,14,39.435774035761966,-0.3614497095943328,648.9,True
106,LA PUNTA,QUATRE CARRERES,15,39.435774035761966,-0.35796010113689475,788.3,True
106,LA PUNTA,QUATRE CARRERES,16,39.435774035761966,-0.3544704926794567,954.9,True
106,LA PUNTA,QUATRE CARRERES,17,39.435774035761966,-0.3509808842220186,997.3,True
106,LA PUNTA,QUATRE CARRERES,18,39.435774035761966,-0.34749127576458055,850.8,True
106,LA PUNTA,QUATRE CARRERES,19,39.435774035761966,-0.3440016673071425,795.5,True
106,LA PUNTA,QUATRE CARRERES,20,39.435774035761966,-0.3405120588497044,849.4,True
106,LA PUNTA,QUATRE CARRERES,21,39.435774035761966,-0.33702245039226636,918.6,True
106,LA PUNTA,QUATRE CARRERES,22,39.43846896928694,-0.36842892650920894,473.4,True
106,LA PUNTA,QUATRE CARRERES,23,39.43846896928694,-0.3649393180517709,511.5,True
106,LA PUNTA,QUATRE CARRERES,24,39.43846896928694,-0.3614497095943328,692.0,True
106,LA PUNTA,QUATRE CARRERES,25,39.43846896928694,-0.35796010113689475,935.7,True
106,LA PUNTA,QUATRE CARRERES,26,39.43846896928694,-0.3544704926794567,1028.5,True
106,LA PUNTA,QUATRE CARRERES,27,39.43846896928694,-0.3509808842220186,779.4,True
106,LA PUNTA,QUATRE CARRERES,28,39.43846896928694,-0.34749127576458055,580.4,True
106,LA PUNTA,QUATRE CARRERES,29,39.43846896928694,-0.3440016673071425,495.9,True
106,LA PUNTA,QUATRE CARRERES,30,39.43846896928694,-0.3405120588497044,578.3,True
106,LA PUNTA,QUATRE CARRERES,31,39.43846896928694,-0.33702245039226636,642.7,True
106,LA PUNTA,QUATRE CARRERES,32,39.44116390281191,-0.36842892650920894,187.2,False
106,LA PUNTA,QUATRE CARRERES,33,39.44116390281191,-0.3649393180517709,269.4,True
106,LA PUNTA,QUATRE CARRERES,34,39.44116390281191,-0.3614497095943328,538.3,True
106,LA PUNTA,QUATRE CARRERES,35,39.44116390281191,-0.35796010113689475,828.5,True
106,LA PUNTA,QUATRE CARRERES,36,39.44116390281191,-0.3544704926794567,922.1,True
106,LA PUNTA,QUATRE CARRERES,37,39.44116390281191,-0.3509808842220186,632.5,True
106,LA PUNTA,QUATRE CARRERES,38,39.44116390281191,-0.34749127576458055,359.9,True
106,LA PUNTA,QUATRE CARRERES,39,39.44116390281191,-0.3440016673071425,196.2,False
106,LA PUNTA,QUATRE CARRERES,40,39.44116390281191,-0.3405120588497044,356.5,True
106,LA PUNTA,QUATRE CARRERES,41,39.44116390281191,-0.33702245039226636,402.4,True
106,LA PUNTA,QUATRE CARRERES,42,39.44385883633688,-0.3649393180517709,246.4,False
106,LA PUNTA,QUATRE CARRERES,43,39.44385883633688,-0.3614497095943328,529.4,True
106,LA PUNTA,QUATRE CARRERES,44,39.44385883633688,-0.35796010113689475,695.0,True
106,LA PUNTA,QUATRE CARRERES,45,39.44385883633688,-0.3544704926794567,847.6,True
106,LA PUNTA,QUATRE CARRERES,46,39.44385883633688,-0.3509808842220186,610.2,True
106,LA PUNTA,QUATRE CARRERES,47,39.44385883633688,-0.34749127576458055,318.9,True
106,LA PUNTA,QUATRE CARRERES,48,39.44385883633688,-0.3440016673071425,103.5,False
106,LA PUNTA,QUATRE CARRERES,49,39.44385883633688,-0.3405120588497044,315.1,True
106,LA PUNTA,QUATRE CARRERES,50,39.44385883633688,-0.33702245039226636,279.1,True
106,LA PUNTA,QUATRE CARRERES,51,39.44655376986185,-0.3614497095943328,316.6,True
106,LA PUNTA,QUATRE CARRERES,52,39.44655376986185,-0.35796010113689475,428.0,True
106,LA PUNTA,QUATRE CARRERES,53,39.44655376986185,-0.3544704926794567,644.3,True
106,LA PUNTA,QUATRE CARRERES,54,39.44655376986185,-0.3509808842220186,693.3,True
106,LA PUNTA,QUATRE CARRERES,55,39.44655376986185,-0.34749127576458055,503.5,True
106,LA PUNTA,QUATRE CARRERES,56,39.44655376986185,-0.3440016673071425,403.1,True
106,LA PUNTA,QUATRE CARRERES,57,39.44655376986185,-0.3405120588497044,389.9,True
106,LA PUNTA,QUATRE CARRERES,58,39.44655376986185,-0.33702245039226636,97.9,False
106,LA PUNTA,QUATRE CARRERES,59,39.44924870338682,-0.35796010113689475,232.9,False
106,LA PUNTA,QUATRE CARRERES,60,39.44924870338682,-0.3544704926794567,450.9,True
106,LA PUNTA,QUATRE CARRERES,61,39.44924870338682,-0.3509808842220186,421.4,True
106,LA PUNTA,QUATRE CARRERES,62,39.44924870338682,-0.34749127576458055,324.0,True
106,LA PUNTA,QUATRE CARRERES,63,39.44924870338682,-0.3440016673071425,261.4,True
106,LA PUNTA,QUATRE CARRERES,64,39.44924870338682,-0.3405120588497044,235.8,False
106,LA PUNTA,QUATRE CARRERES,65,39.44924870338682,-0.33702245039226636,173.6,False
106,LA PUNTA,QUATRE CARRERES,66,39.45194363691179,-0.3544704926794567,235.4,False
106,LA PUNTA,QUATRE CARRERES,67,39.45194363691179,-0.3509808842220186,151.6,False
106,LA PUNTA,QUATRE CARRERES,68,39.45194363691179,-0.34749127576458055,33.6,False
106,LA PUNTA,QUATRE CARRERES,69,39.45194363691179,-0.3440016673071425,50.0,False
106,LA PUNTA,QUATRE CARRERES,70,39.45194363691179,-0.3405120588497044,198.5,False
106,LA PUNTA,QUATRE CARRERES,71,39.45194363691179,-0.33702245039226636,82.8,False
135,LA CARRASCA,ALGIRÓS,0,39.47242196907235,-0.3389590680536076,40.8,False
135,LA CARRASCA,ALGIRÓS,1,39.47511690259732,-0.34245062648563057,107.2,False
135,LA CARRASCA,ALGIRÓS,2,39.47511690259732,-0.3389590680536076,108.0,False
135,LA CARRASCA,ALGIRÓS,3,39.47781183612229,-0.34594218491765355,64.3,False
135,LA CARRASCA,ALGIRÓS,4,39.47781183612229,-0.34245062648563057,22.7,False
135,LA CARRASCA,ALGIRÓS,5,39.47781183612229,-0.3389590680536076,175.0,False
135,LA CARRASCA,ALGIRÓS,6,39.47781183612229,-0.3354675096215846,152.2,False
135,LA CARRASCA,ALGIRÓS,7,39.48050676964726,-0.34943374334967653,129.4,False
135,LA CARRASCA,ALGIRÓS,8,39.48050676964726,-0.34594218491765355,187.3,False
135,LA CARRASCA,ALGIRÓS,9,39.48050676964726,-0.34245062648563057,140.1,False
135,LA CARRASCA,ALGIRÓS,10,39.48050676964726,-0.3389590680536076,192.8,False
135,LA CARRASCA,ALGIRÓS,11,39.48050676964726,-0.3354675096215846,168.0,False
135,LA CARRASCA,ALGIRÓS,12,39.483201703172234,-0.34594218491765355,307.8,True
135,LA CARRASCA,ALGIRÓS,13,39.483201703172234,-0.34245062648563057,175.6,False
135,LA CARRASCA,ALGIRÓS,14,39.483201703172234,-0.3389590680536076,115.2,False
135,LA CARRASCA,ALGIRÓS,15,39.483201703172234,-0.3354675096215846,198.3,False
135,LA CARRASCA,ALGIRÓS,16,39.485896636697206,-0.34245062648563057,400.9,True
135,LA CARRASCA,ALGIRÓS,17,39.485896636697206,-0.3389590680536076,391.4,True
135,LA CARRASCA,ALGIRÓS,18,39.485896636697206,-0.3354675096215846,479.6,True
132,CIUTAT JARDI,ALGIRÓS,0,39.46987814587532,-0.3476483144312327,35.7,False
132,CIUTAT JARDI,ALGIRÓS,1,39.46987814587532,-0.34415717635845994,42.4,False
132,CIUTAT JARDI,ALGIRÓS,2,39.47257307940029,-0.3476483144312327,35.9,False
132,CIUTAT JARDI,ALGIRÓS,3,39.47257307940029,-0.34415717635845994,33.2,False
132,CIUTAT JARDI,ALGIRÓS,4,39.47257307940029,-0.3406660382856872,80.1,False
75,LA LLUM,L'OLIVERETA,0,39.4672640454162,-0.41291992233457037,21.6,False
12,LA XEREA,CIUTAT VELLA,0,39.47282558917423,-0.3738083150812603,51.2,False
12,LA XEREA,CIUTAT VELLA,1,39.47282558917423,-0.3703170685955688,17.7,False
12,LA XEREA,CIUTAT VELLA,2,39.47282558917423,-0.3668258221098773,56.5,False
12,LA XEREA,CIUTAT VELLA,3,39.4755205226992,-0.3703170685955688,43.9,False
101,MONT-OLIVET,QUATRE CARRERES,0,39.45662617877373,-0.3674990514889827,35.4,False
101,MONT-OLIVET,QUATRE CARRERES,1,39.45662617877373,-0.36400854556878204,27.4,False
101,MONT-OLIVET,QUATRE CARRERES,2,39.4593211122987,-0.3674990514889827,5.6,False
101,MONT-OLIVET,QUATRE CARRERES,3,39.4593211122987,-0.36400854556878204,51.4,False
